title,film_year,watched_date,rating,tags,review,link
Da 5 Bloods,2020.0,2020-06-12,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/da-5-bloods/
The Forty-Year-Old Version,2020.0,2020-11-10,3.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/the-forty-year-old-version/
RBG,2018.0,2020-11-10,4.0,"yle areena, streaming",,https://letterboxd.com/farbeach/film/rbg/
Aurora,2018.0,2020-11-06,4.0,"mubi, streaming",,https://letterboxd.com/farbeach/film/aurora-2018/
Killing Them Softly,2012.0,2020-11-13,3.0,"yle areena, streaming",,https://letterboxd.com/farbeach/film/killing-them-softly/
Akira,1988.0,2020-11-26,3.0,cinema,,https://letterboxd.com/farbeach/film/akira/
Nimic,2019.0,2020-12-02,4.0,"mubi, streaming",,https://letterboxd.com/farbeach/film/nimic/
Red Penguins,2019.0,2020-12-03,4.0,,, https://letterboxd.com/farbeach/film/red-penguins/
The Trial of the Chicago 7,2020.0,2020-11-30,4.0,,, https://letterboxd.com/farbeach/film/the-trial-of-the-chicago-7/
The China Hustle,2017.0,2020-12-05,4.0,,, https://letterboxd.com/farbeach/film/the-china-hustle/
El Topo,1970.0,2020-12-08,2.0,,, https://letterboxd.com/farbeach/film/el-topo/
John Wick: Chapter 2,2017.0,2020-12-12,4.0,,, https://letterboxd.com/farbeach/film/john-wick-chapter-2/
Other Music,2019.0,2020-12-13,4.0,,, https://letterboxd.com/farbeach/film/other-music/
Stay Awake Be Ready,2019.0,2020-12-19,4.0,,, https://letterboxd.com/farbeach/film/stay-awake-be-ready/
The Half of It,2020.0,2020-12-19,5.0,,, https://letterboxd.com/farbeach/film/the-half-of-it/
The Russian Five,2018.0,2020-12-22,4.0,,, https://letterboxd.com/farbeach/film/the-russian-five/
Incendies,2010.0,2021-01-03,5.0,,, https://letterboxd.com/farbeach/film/incendies/
John Wick: Chapter 3 – Parabellum,2019.0,2021-06-05,4.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/john-wick-chapter-3-parabellum/
The French Dispatch,2021.0,2021-11-19,4.0,cinema,,https://letterboxd.com/farbeach/film/the-french-dispatch/
Glass Onion: A Knives Out Mystery,2022.0,2023-01-08,4.0,"streaming, netflix",,https://letterboxd.com/farbeach/film/glass-onion-a-knives-out-mystery/
Ticket to Paradise,2022.0,2023-01-12,3.0,cinema,,https://letterboxd.com/farbeach/film/ticket-to-paradise/
Migration,2023.0,2023-12-22,3.0,cinema,,https://letterboxd.com/farbeach/film/migration/
Frankenstein,2025.0,2025-11-10,3.0,,,https://letterboxd.com/farbeach/film/frankenstein-2025/
Eddington,2025.0,2025-10-10,4.0,,,https://letterboxd.com/farbeach/film/eddington/
No Other Choice,2025.0,2026-01-03,4.0,,,https://letterboxd.com/farbeach/film/no-other-choice-2025/
Zootopia 2,2025.0,2026-01-06,3.0,,,https://letterboxd.com/farbeach/film/zootopia-2/
Marty Supreme,2025.0,2026-02-09,3.0,,,https://letterboxd.com/farbeach/film/marty-supreme/
GOAT,2026.0,2026-02-22,4.0,,,https://letterboxd.com/farbeach/film/goat-2026/
Nouvelle Vague,2025.0,2026-02-27,4.0,,,https://letterboxd.com/farbeach/film/nouvelle-vague-2025/
WALL·E,2008.0,2026-02-27,4.0,,,https://letterboxd.com/farbeach/film/walle/
Project Hail Mary,2026.0,2026-03-28,4.0,,,https://letterboxd.com/farbeach/film/project-hail-mary/
The Testament of Ann Lee,2025.0,2026-03-29,4.0,,,https://letterboxd.com/farbeach/film/the-testament-of-ann-lee/
I Swear,2025.0,2026-03-31,4.0,,,https://letterboxd.com/farbeach/film/i-swear/
Hara-Kiri: Death of a Samurai,2011.0,2026-04-10,3.0,,,https://letterboxd.com/farbeach/film/hara-kiri-death-of-a-samurai/
Nimona,2023.0,2026-06-04,4.0,,,https://letterboxd.com/farbeach/film/nimona-2023/
The Super Mario Galaxy Movie,2026.0,2026-06-04,3.0,,,https://letterboxd.com/farbeach/film/the-super-mario-galaxy-movie/
Millennium Actress,2001.0,2026-07-06,4.0,,,https://letterboxd.com/farbeach/film/millennium-actress/
Minions & Monsters,2026.0,2026-07-23,3.0,,,https://letterboxd.com/farbeach/film/minions-monsters-2026/
The Odyssey,2026.0,2026-07-29,5.0,,,https://letterboxd.com/farbeach/film/the-odyssey-2026/
The Furious,2025.0,2026-08-22,3.0,,,https://letterboxd.com/farbeach/film/the-furious/
The Ice Tower,2025.0,2026-09-01,3.0,,,https://letterboxd.com/farbeach/film/the-ice-tower/
